date,store,product,category,is_perishable,units_sold,units_ordered,units_wasted
2024-01-29,Oslo Vest,Melk 1L,Meieri,True,144,172,28
2024-01-30,Oslo Vest,Melk 1L,Meieri,True,150,181,31
2024-01-31,Oslo Vest,Melk 1L,Meieri,True,128,137,9
2024-02-01,Oslo Vest,Melk 1L,Meieri,True,120,147,27
2024-02-02,Oslo Vest,Melk 1L,Meieri,True,133,141,8
2024-02-03,Oslo Vest,Melk 1L,Meieri,True,200,222,22
2024-02-04,Oslo Vest,Melk 1L,Meieri,True,155,183,28
2024-02-05,Oslo Vest,Melk 1L,Meieri,True,114,140,26
2024-02-06,Oslo Vest,Melk 1L,Meieri,True,111,132,21
2024-02-07,Oslo Vest,Melk 1L,Meieri,True,130,156,26
2024-02-08,Oslo Vest,Melk 1L,Meieri,True,161,185,24
2024-02-09,Oslo Vest,Melk 1L,Meieri,True,179,207,28
2024-02-10,Oslo Vest,Melk 1L,Meieri,True,160,171,11
2024-02-11,Oslo Vest,Melk 1L,Meieri,True,130,137,7
2024-02-12,Oslo Vest,Melk 1L,Meieri,True,103,119,16
2024-02-13,Oslo Vest,Melk 1L,Meieri,True,151,186,35
2024-02-14,Oslo Vest,Melk 1L,Meieri,True,120,144,24
2024-02-15,Oslo Vest,Melk 1L,Meieri,True,101,111,10
2024-02-16,Oslo Vest,Melk 1L,Meieri,True,164,177,13
2024-02-17,Oslo Vest,Melk 1L,Meieri,True,158,195,37
2024-02-18,Oslo Vest,Melk 1L,Meieri,True,140,171,31
2024-02-19,Oslo Vest,Melk 1L,Meieri,True,152,184,32
2024-02-20,Oslo Vest,Melk 1L,Meieri,True,156,192,36
2024-02-21,Oslo Vest,Melk 1L,Meieri,True,133,148,15
2024-02-22,Oslo Vest,Melk 1L,Meieri,True,124,141,17
2024-02-23,Oslo Vest,Melk 1L,Meieri,True,158,192,34
2024-02-24,Oslo Vest,Melk 1L,Meieri,True,101,111,10
2024-02-25,Oslo Vest,Melk 1L,Meieri,True,135,145,10
2024-02-26,Oslo Vest,Melk 1L,Meieri,True,137,153,16
2024-02-27,Oslo Vest,Melk 1L,Meieri,True,125,144,19
2024-02-28,Oslo Vest,Melk 1L,Meieri,True,110,137,27
2024-02-29,Oslo Vest,Melk 1L,Meieri,True,155,193,38
2024-03-01,Oslo Vest,Melk 1L,Meieri,True,165,183,18
2024-03-02,Oslo Vest,Melk 1L,Meieri,True,124,137,13
2024-03-03,Oslo Vest,Melk 1L,Meieri,True,129,148,19
2024-03-04,Oslo Vest,Melk 1L,Meieri,True,119,126,7
2024-03-05,Oslo Vest,Melk 1L,Meieri,True,136,149,13
2024-03-06,Oslo Vest,Melk 1L,Meieri,True,122,132,10
2024-03-07,Oslo Vest,Melk 1L,Meieri,True,133,146,13
2024-03-08,Oslo Vest,Melk 1L,Meieri,True,164,194,30
2024-03-09,Oslo Vest,Melk 1L,Meieri,True,145,173,28
2024-03-10,Oslo Vest,Melk 1L,Meieri,True,140,157,17
2024-03-11,Oslo Vest,Melk 1L,Meieri,True,152,176,24
2024-03-12,Oslo Vest,Melk 1L,Meieri,True,151,161,10
2024-03-13,Oslo Vest,Melk 1L,Meieri,True,116,126,10
2024-03-14,Oslo Vest,Melk 1L,Meieri,True,142,150,8
2024-03-15,Oslo Vest,Melk 1L,Meieri,True,203,214,11
2024-03-16,Oslo Vest,Melk 1L,Meieri,True,182,210,28
2024-03-17,Oslo Vest,Melk 1L,Meieri,True,136,148,12
2024-03-18,Oslo Vest,Melk 1L,Meieri,True,101,120,19
2024-03-19,Oslo Vest,Melk 1L,Meieri,True,135,145,10
2024-03-20,Oslo Vest,Melk 1L,Meieri,True,120,134,14
2024-03-21,Oslo Vest,Melk 1L,Meieri,True,116,137,21
2024-03-22,Oslo Vest,Melk 1L,Meieri,True,173,210,37
2024-03-23,Oslo Vest,Melk 1L,Meieri,True,191,210,19
2024-03-24,Oslo Vest,Melk 1L,Meieri,True,168,180,12
2024-03-25,Oslo Vest,Melk 1L,Meieri,True,95,106,11
2024-03-26,Oslo Vest,Melk 1L,Meieri,True,143,171,28
2024-03-27,Oslo Vest,Melk 1L,Meieri,True,132,141,9
2024-03-28,Oslo Vest,Melk 1L,Meieri,True,143,155,12
2024-03-29,Oslo Vest,Melk 1L,Meieri,True,162,170,8
2024-03-30,Oslo Vest,Melk 1L,Meieri,True,176,188,12
2024-03-31,Oslo Vest,Melk 1L,Meieri,True,123,146,23
2024-04-01,Oslo Vest,Melk 1L,Meieri,True,98,116,18
2024-04-02,Oslo Vest,Melk 1L,Meieri,True,133,146,13
2024-04-03,Oslo Vest,Melk 1L,Meieri,True,102,114,12
2024-04-04,Oslo Vest,Melk 1L,Meieri,True,133,162,29
2024-04-05,Oslo Vest,Melk 1L,Meieri,True,183,216,33
2024-04-06,Oslo Vest,Melk 1L,Meieri,True,134,151,17
2024-04-07,Oslo Vest,Melk 1L,Meieri,True,120,132,12
2024-04-08,Oslo Vest,Melk 1L,Meieri,True,133,156,23
2024-04-09,Oslo Vest,Melk 1L,Meieri,True,113,137,24
2024-04-10,Oslo Vest,Melk 1L,Meieri,True,165,190,25
2024-04-11,Oslo Vest,Melk 1L,Meieri,True,118,129,11
2024-04-12,Oslo Vest,Melk 1L,Meieri,True,129,136,7
2024-04-13,Oslo Vest,Melk 1L,Meieri,True,173,204,31
2024-04-14,Oslo Vest,Melk 1L,Meieri,True,114,142,28
2024-04-15,Oslo Vest,Melk 1L,Meieri,True,128,159,31
2024-04-16,Oslo Vest,Melk 1L,Meieri,True,107,121,14
2024-04-17,Oslo Vest,Melk 1L,Meieri,True,128,156,28
2024-04-18,Oslo Vest,Melk 1L,Meieri,True,99,115,16
2024-04-19,Oslo Vest,Melk 1L,Meieri,True,137,170,33
2024-04-20,Oslo Vest,Melk 1L,Meieri,True,162,173,11
2024-04-21,Oslo Vest,Melk 1L,Meieri,True,144,169,25
2024-04-22,Oslo Vest,Melk 1L,Meieri,True,131,157,26
2024-04-23,Oslo Vest,Melk 1L,Meieri,True,114,136,22
2024-04-24,Oslo Vest,Melk 1L,Meieri,True,97,108,11
2024-04-25,Oslo Vest,Melk 1L,Meieri,True,136,165,29
2024-04-26,Oslo Vest,Melk 1L,Meieri,True,153,189,36
2024-04-27,Oslo Vest,Melk 1L,Meieri,True,151,174,23
2024-04-28,Oslo Vest,Melk 1L,Meieri,True,136,160,24
2024-04-29,Oslo Vest,Melk 1L,Meieri,True,112,133,21
2024-04-30,Oslo Vest,Melk 1L,Meieri,True,115,129,14
2024-05-01,Oslo Vest,Melk 1L,Meieri,True,114,128,14
2024-05-02,Oslo Vest,Melk 1L,Meieri,True,113,119,6
2024-05-03,Oslo Vest,Melk 1L,Meieri,True,125,143,18
2024-05-04,Oslo Vest,Melk 1L,Meieri,True,105,123,18
2024-05-05,Oslo Vest,Melk 1L,Meieri,True,116,123,7
2024-05-06,Oslo Vest,Melk 1L,Meieri,True,95,110,15
2024-05-07,Oslo Vest,Melk 1L,Meieri,True,104,125,21
2024-05-08,Oslo Vest,Melk 1L,Meieri,True,118,126,8
2024-05-09,Oslo Vest,Melk 1L,Meieri,True,88,93,5
2024-05-10,Oslo Vest,Melk 1L,Meieri,True,191,225,34
2024-05-11,Oslo Vest,Melk 1L,Meieri,True,179,214,35
2024-05-12,Oslo Vest,Melk 1L,Meieri,True,108,120,12
2024-05-13,Oslo Vest,Melk 1L,Meieri,True,115,139,24
2024-05-14,Oslo Vest,Melk 1L,Meieri,True,100,107,7
2024-05-15,Oslo Vest,Melk 1L,Meieri,True,80,84,4
2024-05-16,Oslo Vest,Melk 1L,Meieri,True,94,102,8
2024-05-17,Oslo Vest,Melk 1L,Meieri,True,173,187,14
2024-05-18,Oslo Vest,Melk 1L,Meieri,True,145,173,28
2024-05-19,Oslo Vest,Melk 1L,Meieri,True,80,95,15
2024-05-20,Oslo Vest,Melk 1L,Meieri,True,112,131,19
2024-05-21,Oslo Vest,Melk 1L,Meieri,True,132,150,18
2024-05-22,Oslo Vest,Melk 1L,Meieri,True,94,113,19
2024-05-23,Oslo Vest,Melk 1L,Meieri,True,85,89,4
2024-05-24,Oslo Vest,Melk 1L,Meieri,True,131,140,9
2024-05-25,Oslo Vest,Melk 1L,Meieri,True,174,200,26
2024-05-26,Oslo Vest,Melk 1L,Meieri,True,84,95,11
2024-05-27,Oslo Vest,Melk 1L,Meieri,True,102,115,13
2024-05-28,Oslo Vest,Melk 1L,Meieri,True,128,136,8
2024-05-29,Oslo Vest,Melk 1L,Meieri,True,124,139,15
2024-05-30,Oslo Vest,Melk 1L,Meieri,True,104,127,23
2024-05-31,Oslo Vest,Melk 1L,Meieri,True,181,214,33
2024-06-01,Oslo Vest,Melk 1L,Meieri,True,130,152,22
2024-06-02,Oslo Vest,Melk 1L,Meieri,True,104,129,25
2024-06-03,Oslo Vest,Melk 1L,Meieri,True,73,86,13
2024-06-04,Oslo Vest,Melk 1L,Meieri,True,122,139,17
2024-06-05,Oslo Vest,Melk 1L,Meieri,True,113,127,14
2024-06-06,Oslo Vest,Melk 1L,Meieri,True,103,128,25
2024-06-07,Oslo Vest,Melk 1L,Meieri,True,123,137,14
2024-06-08,Oslo Vest,Melk 1L,Meieri,True,136,166,30
2024-06-09,Oslo Vest,Melk 1L,Meieri,True,92,109,17
2024-06-10,Oslo Vest,Melk 1L,Meieri,True,96,113,17
2024-06-11,Oslo Vest,Melk 1L,Meieri,True,107,130,23
2024-06-12,Oslo Vest,Melk 1L,Meieri,True,110,122,12
2024-06-13,Oslo Vest,Melk 1L,Meieri,True,109,132,23
2024-06-14,Oslo Vest,Melk 1L,Meieri,True,117,146,29
2024-06-15,Oslo Vest,Melk 1L,Meieri,True,96,116,20
2024-06-16,Oslo Vest,Melk 1L,Meieri,True,82,92,10
2024-06-17,Oslo Vest,Melk 1L,Meieri,True,124,149,25
2024-06-18,Oslo Vest,Melk 1L,Meieri,True,93,100,7
2024-06-19,Oslo Vest,Melk 1L,Meieri,True,100,122,22
2024-06-20,Oslo Vest,Melk 1L,Meieri,True,114,127,13
2024-06-21,Oslo Vest,Melk 1L,Meieri,True,125,132,7
2024-06-22,Oslo Vest,Melk 1L,Meieri,True,146,180,34
2024-06-23,Oslo Vest,Melk 1L,Meieri,True,95,118,23
2024-06-24,Oslo Vest,Melk 1L,Meieri,True,90,112,22
2024-06-25,Oslo Vest,Melk 1L,Meieri,True,128,146,18
2024-06-26,Oslo Vest,Melk 1L,Meieri,True,115,127,12
2024-06-27,Oslo Vest,Melk 1L,Meieri,True,117,140,23
2024-06-28,Oslo Vest,Melk 1L,Meieri,True,106,128,22
2024-06-29,Oslo Vest,Melk 1L,Meieri,True,115,133,18
2024-06-30,Oslo Vest,Melk 1L,Meieri,True,99,113,14
2024-07-01,Oslo Vest,Melk 1L,Meieri,True,94,101,7
2024-07-02,Oslo Vest,Melk 1L,Meieri,True,110,119,9
2024-07-03,Oslo Vest,Melk 1L,Meieri,True,108,116,8
2024-07-04,Oslo Vest,Melk 1L,Meieri,True,119,127,8
2024-07-05,Oslo Vest,Melk 1L,Meieri,True,120,146,26
2024-07-06,Oslo Vest,Melk 1L,Meieri,True,132,157,25
2024-07-07,Oslo Vest,Melk 1L,Meieri,True,115,143,28
2024-07-08,Oslo Vest,Melk 1L,Meieri,True,91,113,22
2024-07-09,Oslo Vest,Melk 1L,Meieri,True,88,94,6
2024-07-10,Oslo Vest,Melk 1L,Meieri,True,118,142,24
2024-07-11,Oslo Vest,Melk 1L,Meieri,True,68,84,16
2024-07-12,Oslo Vest,Melk 1L,Meieri,True,158,169,11
2024-07-13,Oslo Vest,Melk 1L,Meieri,True,122,140,18
2024-07-14,Oslo Vest,Melk 1L,Meieri,True,98,104,6
2024-07-15,Oslo Vest,Melk 1L,Meieri,True,117,137,20
2024-07-16,Oslo Vest,Melk 1L,Meieri,True,109,135,26
2024-07-17,Oslo Vest,Melk 1L,Meieri,True,77,94,17
2024-07-18,Oslo Vest,Melk 1L,Meieri,True,86,94,8
2024-07-19,Oslo Vest,Melk 1L,Meieri,True,129,161,32
2024-07-20,Oslo Vest,Melk 1L,Meieri,True,146,155,9
2024-07-21,Oslo Vest,Melk 1L,Meieri,True,105,121,16
2024-07-22,Oslo Vest,Melk 1L,Meieri,True,99,116,17
2024-07-23,Oslo Vest,Melk 1L,Meieri,True,92,108,16
2024-07-24,Oslo Vest,Melk 1L,Meieri,True,126,147,21
2024-07-25,Oslo Vest,Melk 1L,Meieri,True,97,114,17
2024-07-26,Oslo Vest,Melk 1L,Meieri,True,147,163,16
2024-07-27,Oslo Vest,Melk 1L,Meieri,True,125,140,15
2024-07-28,Oslo Vest,Melk 1L,Meieri,True,79,92,13
2024-07-29,Oslo Vest,Melk 1L,Meieri,True,70,85,15
2024-07-30,Oslo Vest,Melk 1L,Meieri,True,104,123,19
2024-07-31,Oslo Vest,Melk 1L,Meieri,True,110,125,15
2024-08-01,Oslo Vest,Melk 1L,Meieri,True,121,150,29
2024-08-02,Oslo Vest,Melk 1L,Meieri,True,127,154,27
2024-08-03,Oslo Vest,Melk 1L,Meieri,True,123,153,30
2024-08-04,Oslo Vest,Melk 1L,Meieri,True,104,117,13
2024-08-05,Oslo Vest,Melk 1L,Meieri,True,83,103,20
2024-08-06,Oslo Vest,Melk 1L,Meieri,True,103,118,15
2024-08-07,Oslo Vest,Melk 1L,Meieri,True,104,118,14
2024-08-08,Oslo Vest,Melk 1L,Meieri,True,98,120,22
2024-08-09,Oslo Vest,Melk 1L,Meieri,True,128,155,27
2024-08-10,Oslo Vest,Melk 1L,Meieri,True,159,197,38
2024-08-11,Oslo Vest,Melk 1L,Meieri,True,105,128,23
2024-08-12,Oslo Vest,Melk 1L,Meieri,True,95,102,7
2024-08-13,Oslo Vest,Melk 1L,Meieri,True,76,94,18
2024-08-14,Oslo Vest,Melk 1L,Meieri,True,80,95,15
2024-08-15,Oslo Vest,Melk 1L,Meieri,True,109,128,19
2024-08-16,Oslo Vest,Melk 1L,Meieri,True,115,136,21
2024-08-17,Oslo Vest,Melk 1L,Meieri,True,125,144,19
2024-08-18,Oslo Vest,Melk 1L,Meieri,True,103,126,23
2024-08-19,Oslo Vest,Melk 1L,Meieri,True,125,145,20
2024-08-20,Oslo Vest,Melk 1L,Meieri,True,117,132,15
2024-08-21,Oslo Vest,Melk 1L,Meieri,True,104,112,8
2024-08-22,Oslo Vest,Melk 1L,Meieri,True,124,135,11
2024-08-23,Oslo Vest,Melk 1L,Meieri,True,150,162,12
2024-08-24,Oslo Vest,Melk 1L,Meieri,True,98,111,13
2024-08-25,Oslo Vest,Melk 1L,Meieri,True,124,153,29
2024-08-26,Oslo Vest,Melk 1L,Meieri,True,105,127,22
2024-08-27,Oslo Vest,Melk 1L,Meieri,True,69,78,9
2024-08-28,Oslo Vest,Melk 1L,Meieri,True,118,146,28
2024-08-29,Oslo Vest,Melk 1L,Meieri,True,108,117,9
2024-08-30,Oslo Vest,Melk 1L,Meieri,True,134,148,14
2024-08-31,Oslo Vest,Melk 1L,Meieri,True,150,171,21
2024-09-01,Oslo Vest,Melk 1L,Meieri,True,104,116,12
2024-09-02,Oslo Vest,Melk 1L,Meieri,True,110,129,19
2024-09-03,Oslo Vest,Melk 1L,Meieri,True,102,110,8
2024-09-04,Oslo Vest,Melk 1L,Meieri,True,103,111,8
2024-09-05,Oslo Vest,Melk 1L,Meieri,True,87,97,10
2024-09-06,Oslo Vest,Melk 1L,Meieri,True,146,179,33
2024-09-07,Oslo Vest,Melk 1L,Meieri,True,179,194,15
2024-09-08,Oslo Vest,Melk 1L,Meieri,True,100,109,9
2024-09-09,Oslo Vest,Melk 1L,Meieri,True,93,99,6
2024-09-10,Oslo Vest,Melk 1L,Meieri,True,97,104,7
2024-09-11,Oslo Vest,Melk 1L,Meieri,True,83,93,10
2024-09-12,Oslo Vest,Melk 1L,Meieri,True,103,119,16
2024-09-13,Oslo Vest,Melk 1L,Meieri,True,136,165,29
2024-09-14,Oslo Vest,Melk 1L,Meieri,True,140,165,25
2024-09-15,Oslo Vest,Melk 1L,Meieri,True,121,145,24
2024-09-16,Oslo Vest,Melk 1L,Meieri,True,97,105,8
2024-09-17,Oslo Vest,Melk 1L,Meieri,True,99,114,15
2024-09-18,Oslo Vest,Melk 1L,Meieri,True,88,103,15
2024-09-19,Oslo Vest,Melk 1L,Meieri,True,98,118,20
2024-09-20,Oslo Vest,Melk 1L,Meieri,True,94,99,5
2024-09-21,Oslo Vest,Melk 1L,Meieri,True,159,195,36
2024-09-22,Oslo Vest,Melk 1L,Meieri,True,93,107,14
2024-09-23,Oslo Vest,Melk 1L,Meieri,True,93,106,13
2024-09-24,Oslo Vest,Melk 1L,Meieri,True,111,128,17
2024-09-25,Oslo Vest,Melk 1L,Meieri,True,96,108,12
2024-09-26,Oslo Vest,Melk 1L,Meieri,True,95,100,5
2024-09-27,Oslo Vest,Melk 1L,Meieri,True,121,135,14
2024-09-28,Oslo Vest,Melk 1L,Meieri,True,130,140,10
2024-09-29,Oslo Vest,Melk 1L,Meieri,True,114,135,21
2024-09-30,Oslo Vest,Melk 1L,Meieri,True,126,152,26
2024-10-01,Oslo Vest,Melk 1L,Meieri,True,97,112,15
2024-10-02,Oslo Vest,Melk 1L,Meieri,True,112,131,19
2024-10-03,Oslo Vest,Melk 1L,Meieri,True,105,113,8
2024-10-04,Oslo Vest,Melk 1L,Meieri,True,181,200,19
2024-10-05,Oslo Vest,Melk 1L,Meieri,True,177,206,29
2024-10-06,Oslo Vest,Melk 1L,Meieri,True,91,102,11
2024-10-07,Oslo Vest,Melk 1L,Meieri,True,114,125,11
2024-10-08,Oslo Vest,Melk 1L,Meieri,True,116,124,8
2024-10-09,Oslo Vest,Melk 1L,Meieri,True,106,115,9
2024-10-10,Oslo Vest,Melk 1L,Meieri,True,103,112,9
2024-10-11,Oslo Vest,Melk 1L,Meieri,True,130,160,30
2024-10-12,Oslo Vest,Melk 1L,Meieri,True,137,146,9
2024-10-13,Oslo Vest,Melk 1L,Meieri,True,72,90,18
2024-10-14,Oslo Vest,Melk 1L,Meieri,True,127,136,9
2024-10-15,Oslo Vest,Melk 1L,Meieri,True,122,149,27
2024-10-16,Oslo Vest,Melk 1L,Meieri,True,114,138,24
2024-10-17,Oslo Vest,Melk 1L,Meieri,True,104,123,19
2024-10-18,Oslo Vest,Melk 1L,Meieri,True,139,172,33
2024-10-19,Oslo Vest,Melk 1L,Meieri,True,198,219,21
2024-10-20,Oslo Vest,Melk 1L,Meieri,True,145,175,30
2024-10-21,Oslo Vest,Melk 1L,Meieri,True,107,121,14
2024-10-22,Oslo Vest,Melk 1L,Meieri,True,100,115,15
2024-10-23,Oslo Vest,Melk 1L,Meieri,True,110,129,19
2024-10-24,Oslo Vest,Melk 1L,Meieri,True,113,125,12
2024-10-25,Oslo Vest,Melk 1L,Meieri,True,128,147,19
2024-10-26,Oslo Vest,Melk 1L,Meieri,True,161,186,25
2024-10-27,Oslo Vest,Melk 1L,Meieri,True,116,125,9
2024-10-28,Oslo Vest,Melk 1L,Meieri,True,112,119,7
2024-10-29,Oslo Vest,Melk 1L,Meieri,True,109,129,20
2024-10-30,Oslo Vest,Melk 1L,Meieri,True,134,161,27
2024-10-31,Oslo Vest,Melk 1L,Meieri,True,107,121,14
2024-11-01,Oslo Vest,Melk 1L,Meieri,True,214,240,26
2024-11-02,Oslo Vest,Melk 1L,Meieri,True,161,175,14
2024-11-03,Oslo Vest,Melk 1L,Meieri,True,123,131,8
2024-11-04,Oslo Vest,Melk 1L,Meieri,True,130,158,28
2024-11-05,Oslo Vest,Melk 1L,Meieri,True,150,162,12
2024-11-06,Oslo Vest,Melk 1L,Meieri,True,111,120,9
2024-11-07,Oslo Vest,Melk 1L,Meieri,True,133,144,11
2024-11-08,Oslo Vest,Melk 1L,Meieri,True,172,199,27
2024-11-09,Oslo Vest,Melk 1L,Meieri,True,184,206,22
2024-11-10,Oslo Vest,Melk 1L,Meieri,True,118,143,25
2024-11-11,Oslo Vest,Melk 1L,Meieri,True,141,160,19
2024-11-12,Oslo Vest,Melk 1L,Meieri,True,111,123,12
2024-11-13,Oslo Vest,Melk 1L,Meieri,True,82,98,16
2024-11-14,Oslo Vest,Melk 1L,Meieri,True,95,117,22
2024-11-15,Oslo Vest,Melk 1L,Meieri,True,162,183,21
2024-11-16,Oslo Vest,Melk 1L,Meieri,True,184,216,32
2024-11-17,Oslo Vest,Melk 1L,Meieri,True,127,136,9
2024-11-18,Oslo Vest,Melk 1L,Meieri,True,128,143,15
2024-11-19,Oslo Vest,Melk 1L,Meieri,True,136,147,11
2024-11-20,Oslo Vest,Melk 1L,Meieri,True,135,156,21
2024-11-21,Oslo Vest,Melk 1L,Meieri,True,149,183,34
2024-11-22,Oslo Vest,Melk 1L,Meieri,True,152,169,17
2024-11-23,Oslo Vest,Melk 1L,Meieri,True,174,191,17
2024-11-24,Oslo Vest,Melk 1L,Meieri,True,155,190,35
2024-11-25,Oslo Vest,Melk 1L,Meieri,True,134,150,16
2024-11-26,Oslo Vest,Melk 1L,Meieri,True,151,163,12
2024-11-27,Oslo Vest,Melk 1L,Meieri,True,119,130,11
2024-11-28,Oslo Vest,Melk 1L,Meieri,True,146,172,26
2024-11-29,Oslo Vest,Melk 1L,Meieri,True,190,226,36
2024-11-30,Oslo Vest,Melk 1L,Meieri,True,126,141,15
2024-12-01,Oslo Vest,Melk 1L,Meieri,True,133,144,11
2024-12-02,Oslo Vest,Melk 1L,Meieri,True,132,149,17
2024-12-03,Oslo Vest,Melk 1L,Meieri,True,145,166,21
2024-12-04,Oslo Vest,Melk 1L,Meieri,True,132,155,23
2024-12-05,Oslo Vest,Melk 1L,Meieri,True,180,190,10
2024-12-06,Oslo Vest,Melk 1L,Meieri,True,213,263,50
2024-12-07,Oslo Vest,Melk 1L,Meieri,True,183,218,35
2024-12-08,Oslo Vest,Melk 1L,Meieri,True,134,157,23
2024-12-09,Oslo Vest,Melk 1L,Meieri,True,107,121,14
2024-12-10,Oslo Vest,Melk 1L,Meieri,True,133,164,31
2024-12-11,Oslo Vest,Melk 1L,Meieri,True,132,151,19
2024-12-12,Oslo Vest,Melk 1L,Meieri,True,180,203,23
2024-12-13,Oslo Vest,Melk 1L,Meieri,True,183,194,11
2024-12-14,Oslo Vest,Melk 1L,Meieri,True,197,207,10
2024-12-15,Oslo Vest,Melk 1L,Meieri,True,119,133,14
2024-12-16,Oslo Vest,Melk 1L,Meieri,True,147,181,34
2024-12-17,Oslo Vest,Melk 1L,Meieri,True,85,95,10
2024-12-18,Oslo Vest,Melk 1L,Meieri,True,156,178,22
2024-12-19,Oslo Vest,Melk 1L,Meieri,True,115,126,11
2024-12-20,Oslo Vest,Melk 1L,Meieri,True,142,154,12
2024-12-21,Oslo Vest,Melk 1L,Meieri,True,167,192,25
2024-12-22,Oslo Vest,Melk 1L,Meieri,True,147,165,18
2024-12-23,Oslo Vest,Melk 1L,Meieri,True,128,149,21
2024-12-24,Oslo Vest,Melk 1L,Meieri,True,112,139,27
2024-12-25,Oslo Vest,Melk 1L,Meieri,True,142,153,11
2024-12-26,Oslo Vest,Melk 1L,Meieri,True,116,145,29
2024-12-27,Oslo Vest,Melk 1L,Meieri,True,167,192,25
2024-12-28,Oslo Vest,Melk 1L,Meieri,True,154,185,31
2024-12-29,Oslo Vest,Melk 1L,Meieri,True,135,147,12
2024-12-30,Oslo Vest,Melk 1L,Meieri,True,130,141,11
2024-12-31,Oslo Vest,Melk 1L,Meieri,True,135,143,8
2025-01-01,Oslo Vest,Melk 1L,Meieri,True,183,195,12
2025-01-02,Oslo Vest,Melk 1L,Meieri,True,110,133,23
2025-01-03,Oslo Vest,Melk 1L,Meieri,True,208,237,29
2025-01-04,Oslo Vest,Melk 1L,Meieri,True,104,118,14
2025-01-05,Oslo Vest,Melk 1L,Meieri,True,109,118,9
2025-01-06,Oslo Vest,Melk 1L,Meieri,True,137,167,30
2025-01-07,Oslo Vest,Melk 1L,Meieri,True,130,144,14
2025-01-08,Oslo Vest,Melk 1L,Meieri,True,143,169,26
2025-01-09,Oslo Vest,Melk 1L,Meieri,True,125,135,10
2025-01-10,Oslo Vest,Melk 1L,Meieri,True,171,204,33
2025-01-11,Oslo Vest,Melk 1L,Meieri,True,170,186,16
2025-01-12,Oslo Vest,Melk 1L,Meieri,True,133,146,13
2025-01-13,Oslo Vest,Melk 1L,Meieri,True,135,147,12
2025-01-14,Oslo Vest,Melk 1L,Meieri,True,130,153,23
2025-01-15,Oslo Vest,Melk 1L,Meieri,True,126,138,12
2025-01-16,Oslo Vest,Melk 1L,Meieri,True,128,153,25
2025-01-17,Oslo Vest,Melk 1L,Meieri,True,179,202,23
2025-01-18,Oslo Vest,Melk 1L,Meieri,True,179,212,33
2025-01-19,Oslo Vest,Melk 1L,Meieri,True,120,148,28
2025-01-20,Oslo Vest,Melk 1L,Meieri,True,114,120,6
2025-01-21,Oslo Vest,Melk 1L,Meieri,True,99,122,23
2025-01-22,Oslo Vest,Melk 1L,Meieri,True,168,204,36
2025-01-23,Oslo Vest,Melk 1L,Meieri,True,108,122,14
2025-01-24,Oslo Vest,Melk 1L,Meieri,True,151,176,25
2025-01-25,Oslo Vest,Melk 1L,Meieri,True,192,217,25
2025-01-26,Oslo Vest,Melk 1L,Meieri,True,104,121,17
2025-01-27,Oslo Vest,Melk 1L,Meieri,True,98,121,23
2025-01-28,Oslo Vest,Melk 1L,Meieri,True,122,147,25
2025-01-29,Oslo Vest,Melk 1L,Meieri,True,152,184,32
2025-01-30,Oslo Vest,Melk 1L,Meieri,True,132,150,18
2025-01-31,Oslo Vest,Melk 1L,Meieri,True,227,250,23
2025-02-01,Oslo Vest,Melk 1L,Meieri,True,189,204,15
