Store,StoreType,Assortment,CompetitionDistance,Total_Sales,Avg_Daily_Sales,Avg_Customers,Days_With_Promo,N_Days
68,a,c,250.0,5929590,7563.0,1152.0,353,784
69,c,c,1130.0,7362059,9426.0,1184.0,350,781
70,c,c,4840.0,5167478,6608.0,679.0,351,782
71,a,a,17500.0,7058595,9061.0,747.0,350,779
72,a,a,2200.0,2753676,4420.0,475.0,275,623
73,a,c,1650.0,3588351,4577.0,494.0,353,784
74,a,a,330.0,4855145,6257.0,854.0,348,776
75,d,c,22440.0,4722388,6023.0,642.0,353,784
76,d,c,19960.0,5606718,9000.0,928.0,275,623
77,d,c,1090.0,5952383,7621.0,663.0,350,781
78,a,a,3510.0,2899629,3717.0,495.0,351,780
79,a,a,3320.0,4253485,5474.0,560.0,348,777
80,d,a,7910.0,5933077,7616.0,578.0,350,779
81,a,a,2370.0,4345098,6986.0,561.0,274,622
82,a,a,22390.0,7026310,9020.0,839.0,350,779
83,a,a,2710.0,3028523,3888.0,346.0,350,779
84,a,c,11810.0,10092722,12956.0,1392.0,350,779
85,b,a,1870.0,6850652,7272.0,1015.0,360,942
86,a,a,480.0,3652727,4695.0,605.0,349,778
87,a,a,560.0,4598287,5865.0,737.0,353,784
88,a,a,10690.0,4699058,6024.0,613.0,351,780
89,a,a,2380.0,3714173,5971.0,624.0,274,622
90,a,a,330.0,6548246,8417.0,1057.0,350,778
91,c,a,2410.0,4324904,5559.0,614.0,349,778
92,c,a,240.0,4671417,5997.0,547.0,350,779
93,a,a,16690.0,4646872,5965.0,604.0,350,779
94,d,c,14620.0,5547371,7121.0,640.0,350,779
95,a,a,1890.0,5958064,7639.0,844.0,352,780
96,a,a,8780.0,4037973,5177.0,543.0,352,780
97,d,c,8980.0,5228649,6703.0,689.0,352,780
98,d,c,15140.0,3980584,5110.0,452.0,350,779
99,c,c,2030.0,3191184,5131.0,466.0,274,622
100,d,a,17930.0,4826434,7964.0,686.0,265,606
101,d,c,2440.0,5856384,7470.0,777.0,353,784
102,a,a,150.0,5444156,7080.0,1052.0,345,769
103,d,c,5210.0,2959073,4689.0,422.0,281,631
104,a,a,390.0,7939205,10127.0,1312.0,353,784
105,a,c,6190.0,3348791,4441.0,515.0,338,754
106,a,a,1390.0,6718335,8669.0,826.0,351,775
107,a,a,1930.0,5751886,7337.0,955.0,353,784
108,d,c,2190.0,6863994,11035.0,849.0,274,622
109,a,c,3300.0,5068030,6464.0,742.0,353,784
110,a,c,46590.0,3554993,4534.0,587.0,353,784
111,d,c,7890.0,5288733,6772.0,598.0,350,781
112,a,a,1630.0,4883888,6229.0,776.0,353,784
113,d,c,20930.0,4477826,7199.0,699.0,274,622
114,c,a,4510.0,4191703,5347.0,608.0,354,784
115,d,c,5740.0,4585191,7372.0,552.0,274,622
116,a,a,680.0,5711629,7295.0,758.0,353,783
117,a,a,3450.0,3024044,3882.0,492.0,350,779
118,d,c,3580.0,6085216,7782.0,676.0,352,782
119,a,c,2100.0,4707987,6005.0,665.0,353,784
120,d,a,2290.0,5552990,7110.0,638.0,350,781
121,a,a,3570.0,3473474,4453.0,504.0,352,780
122,a,c,58260.0,5718883,6462.0,794.0,354,885
123,a,a,16760.0,6450589,8399.0,960.0,346,768
124,a,a,1410.0,3446410,4424.0,526.0,350,779
125,a,a,760.0,9280089,11837.0,1574.0,353,784
126,d,a,3370.0,5069540,6508.0,544.0,350,779
127,d,a,1350.0,3263370,5238.0,660.0,275,623
128,d,c,2000.0,5822099,7455.0,595.0,350,781
129,a,a,2460.0,5727451,9208.0,1165.0,274,622
130,c,a,900.0,3999550,5121.0,574.0,350,781
131,c,a,920.0,4109540,5275.0,559.0,350,779
132,d,c,1040.0,3908185,6283.0,582.0,274,622
133,a,a,270.0,5057788,6468.0,759.0,353,782
134,a,a,1200.0,3705099,4726.0,495.0,353,784
135,d,a,5190.0,4648837,5952.0,540.0,350,781
136,a,c,2200.0,3414045,5489.0,424.0,274,622
137,a,a,1730.0,5147039,8275.0,957.0,274,622
138,a,c,25360.0,5721236,7335.0,714.0,352,780
139,a,a,1700.0,4020701,6464.0,514.0,274,622
140,a,c,1090.0,5833328,7469.0,964.0,350,781
141,c,c,1540.0,4305156,5541.0,612.0,348,777
142,a,a,1090.0,3586489,4604.0,569.0,350,779
143,d,a,2930.0,4919195,6315.0,582.0,350,779
144,a,c,16570.0,4823879,7718.0,729.0,274,625
145,a,a,280.0,5072096,8342.0,1268.0,269,608
146,d,c,8050.0,6086195,7813.0,702.0,350,779
147,d,c,8540.0,6397583,8213.0,880.0,350,779
148,a,a,2090.0,6772949,8639.0,819.0,353,784
149,d,a,2610.0,3462975,5567.0,486.0,274,622
150,c,c,31830.0,6599117,8417.0,820.0,353,784
151,d,c,4360.0,5269496,6756.0,652.0,351,780
152,a,a,1780.0,4317171,5542.0,621.0,350,779
153,a,a,16240.0,5505047,7067.0,634.0,350,779
154,d,c,16420.0,6824045,8738.0,737.0,350,781
155,d,a,3050.0,4290509,6887.0,660.0,275,623
156,a,a,2020.0,5443980,6962.0,713.0,353,782
157,a,c,2950.0,7574054,9723.0,990.0,350,779
158,d,c,11840.0,6354198,8157.0,520.0,350,779
159,d,a,8530.0,4827383,7749.0,696.0,275,623
160,d,c,17110.0,4475644,5731.0,559.0,350,781
161,a,c,2970.0,5649774,7253.0,819.0,350,779
162,d,c,5340.0,6066911,7768.0,556.0,350,781
163,a,a,1480.0,5722186,7299.0,871.0,353,784
164,a,a,1160.0,3868966,6210.0,633.0,275,623
165,a,a,3720.0,2486031,3997.0,423.0,274,622
166,a,c,100.0,4533193,5819.0,817.0,350,779
167,a,a,140.0,7250708,9296.0,1055.0,351,780
168,a,a,12540.0,5840824,7517.0,731.0,348,777
169,d,a,980.0,5529699,7219.0,688.0,343,766
170,a,a,1070.0,3902355,5009.0,544.0,350,779
171,a,a,2640.0,6566306,8429.0,867.0,350,779
172,a,a,110.0,4342600,6982.0,869.0,274,622
173,a,a,350.0,6454502,8233.0,1007.0,353,784
174,a,a,13090.0,3692528,5937.0,480.0,274,622
175,c,a,4130.0,4535086,5785.0,691.0,353,784
176,a,a,3770.0,4111700,5278.0,632.0,350,779
177,a,a,1250.0,3115395,3994.0,485.0,351,780
178,d,a,1710.0,7870142,10090.0,924.0,352,780
179,a,c,480.0,5683019,7295.0,956.0,350,779
180,d,a,5800.0,5660528,7220.0,843.0,353,784
181,a,a,12610.0,3976421,6383.0,669.0,275,623
182,d,c,1390.0,4142935,5305.0,418.0,350,781
183,a,a,9670.0,2945836,4821.0,601.0,270,611
184,d,c,3560.0,5123769,6594.0,596.0,349,777
185,d,c,1860.0,5621764,7171.0,545.0,353,784
186,a,a,290.0,2353548,3784.0,381.0,274,622
187,a,c,19360.0,4923311,6280.0,776.0,353,784
188,d,a,850.0,3884836,4987.0,438.0,350,779
189,d,a,5760.0,6826322,8763.0,837.0,350,779
190,a,a,1470.0,4477750,7199.0,656.0,274,622
191,a,a,1100.0,4253819,6839.0,714.0,274,622
192,d,c,2770.0,5608471,9017.0,645.0,274,622
193,a,a,520.0,4166302,5362.0,782.0,348,777
194,d,c,16970.0,3752516,4829.0,418.0,348,777
195,a,c,220.0,8345567,10713.0,1298.0,350,779
196,c,a,3850.0,4079175,5216.0,697.0,353,782
197,c,a,4210.0,5367788,6847.0,842.0,353,784
198,a,a,290.0,2268273,2901.0,338.0,353,782
199,d,c,6360.0,6197488,7956.0,625.0,350,779
200,a,a,1650.0,6021315,7730.0,968.0,350,779
201,d,a,20260.0,4089245,5249.0,444.0,350,779
202,d,c,5140.0,4737388,6066.0,509.0,350,781
203,c,c,490.0,5298238,6775.0,883.0,351,782
204,a,a,5630.0,3412446,5486.0,524.0,274,622
205,a,a,110.0,5124867,6537.0,879.0,353,784
206,a,c,380.0,5575733,7158.0,800.0,350,779
207,a,a,6870.0,8768418,11184.0,1300.0,353,784
208,c,a,300.0,2302052,2936.0,413.0,353,784
209,a,c,11680.0,4928424,5588.0,577.0,354,882
210,d,a,970.0,2488114,3194.0,326.0,350,779
211,a,c,350.0,10187567,12994.0,1486.0,353,784
212,a,c,15050.0,3744115,4776.0,461.0,353,784
213,d,c,4030.0,6334081,8131.0,653.0,350,779
214,d,a,8650.0,7269531,9332.0,715.0,350,779
215,d,a,150.0,3920679,6313.0,490.0,274,621
216,c,a,190.0,5607978,7227.0,888.0,348,776
217,c,a,3150.0,3685496,4701.0,643.0,353,784
218,a,c,640.0,3121555,5019.0,696.0,274,622
219,a,a,1640.0,2441162,3134.0,406.0,350,779
220,a,a,1000.0,3807392,4906.0,645.0,348,776
221,d,c,13530.0,4564321,5822.0,553.0,353,784
222,a,a,2170.0,3906246,4982.0,562.0,353,784
223,d,c,2920.0,5656109,7233.0,739.0,353,782
224,d,c,7930.0,5151315,6630.0,479.0,348,777
225,d,a,10180.0,4064054,5197.0,556.0,353,782
226,a,a,450.0,5667944,7257.0,703.0,350,781
227,a,a,2370.0,4623704,6028.0,562.0,345,767
228,d,c,10800.0,6190043,7946.0,593.0,350,779
229,d,c,17410.0,6734738,8645.0,734.0,350,779
230,d,c,6680.0,5928326,7562.0,940.0,353,784
231,d,c,3840.0,2967114,4770.0,395.0,274,622
232,c,c,13570.0,2583221,3377.0,304.0,343,765
233,a,a,1890.0,7365681,9431.0,1032.0,350,781
234,d,a,4370.0,8625334,11072.0,1025.0,350,779
235,a,a,5710.0,4635585,5935.0,501.0,350,781
236,a,a,1000.0,5581738,7120.0,865.0,353,784
237,a,a,1420.0,3556217,4536.0,575.0,353,784
238,a,a,320.0,5868876,7672.0,1103.0,343,765
239,d,c,610.0,3950473,5071.0,472.0,350,779
240,a,a,1110.0,3772636,4812.0,460.0,353,784
241,d,c,780.0,5128334,6583.0,705.0,350,779
242,d,a,6880.0,3196707,4093.0,366.0,350,781
243,a,a,310.0,4407146,7074.0,953.0,275,623
244,d,a,710.0,4106186,5271.0,540.0,350,779
245,a,c,1310.0,6949075,8898.0,1021.0,350,781
246,c,a,4660.0,5551547,7081.0,937.0,353,784
247,d,c,70.0,6698411,8577.0,684.0,350,781
248,a,c,340.0,6555942,8362.0,1113.0,353,784
249,d,c,18010.0,4144086,5286.0,538.0,353,784
250,d,a,3520.0,6615557,8471.0,658.0,350,781
251,a,c,340.0,14896870,19123.0,2450.0,350,779
252,d,c,22330.0,8269484,10616.0,810.0,350,779
253,a,c,250.0,4476698,5747.0,691.0,350,779
254,d,a,330.0,2341661,3006.0,259.0,350,779
255,c,c,4630.0,4885211,6271.0,640.0,350,779
256,a,c,80.0,7630314,9833.0,1247.0,348,776
257,a,a,420.0,4183099,5336.0,632.0,353,784
258,a,a,27190.0,3509384,5642.0,494.0,274,622
259,b,b,210.0,10851871,11656.0,2375.0,356,931
260,a,a,540.0,5143038,6560.0,911.0,353,784
261,d,c,15340.0,9828244,12616.0,949.0,350,779
262,b,a,1180.0,19516842,20719.0,3402.0,360,942
263,a,c,1140.0,2306075,3708.0,356.0,274,622
264,a,a,180.0,5512491,7234.0,954.0,343,762
265,a,a,4580.0,3859812,4955.0,503.0,350,779
266,a,c,360.0,3424011,4390.0,531.0,352,780
267,c,a,2460.0,7282702,9289.0,1125.0,353,784
268,a,a,4520.0,3826840,4881.0,598.0,353,784
269,a,c,60.0,7281084,9347.0,1231.0,350,779
270,a,a,1450.0,7284633,9292.0,1205.0,353,784
271,a,a,420.0,6116519,7842.0,792.0,352,780
272,a,a,16180.0,4871343,6237.0,630.0,350,781
273,a,c,8480.0,5499466,7060.0,704.0,350,779
274,b,b,3640.0,3794012,4071.0,993.0,358,932
275,d,a,300.0,4630070,7444.0,749.0,274,622
276,a,a,2960.0,3191132,4091.0,521.0,352,780
277,d,c,7840.0,4008491,6445.0,535.0,274,622
278,a,c,9260.0,5599459,7142.0,793.0,353,784
279,d,c,2320.0,5532919,8881.0,668.0,275,623
280,d,c,18640.0,4869839,6267.0,521.0,348,777
281,d,c,6970.0,4594724,5861.0,550.0,353,784
282,a,a,1220.0,3456330,4409.0,641.0,353,784
283,a,a,2260.0,4425007,7114.0,718.0,274,622
284,d,a,1290.0,3367042,5413.0,450.0,274,622
285,a,a,2410.0,4025996,5155.0,470.0,350,781
286,a,a,1460.0,3838772,4928.0,430.0,350,779
287,c,a,2740.0,5070793,8152.0,819.0,274,622
288,d,a,800.0,3499206,5626.0,423.0,274,622
289,d,a,6540.0,4936879,6321.0,554.0,350,781
290,a,a,4150.0,5464029,7014.0,683.0,350,779
291,d,a,2325.0,6257971,8023.0,840.0,352,780
292,a,a,1100.0,4422953,5774.0,707.0,343,766
293,c,c,140.0,4899830,6258.0,815.0,352,783
294,a,a,3150.0,4506589,5770.0,766.0,350,781
295,a,a,210.0,4106780,5285.0,671.0,348,777
296,a,a,9580.0,5438463,6963.0,755.0,350,781
297,a,a,2300.0,5432839,6992.0,720.0,348,777
298,d,a,19840.0,5223940,8399.0,691.0,274,622
299,d,c,38630.0,5499540,6235.0,683.0,354,882
300,a,c,120.0,5534680,7078.0,879.0,351,782
301,a,c,4510.0,4342138,5538.0,596.0,353,784
302,d,c,2190.0,2922724,3742.0,323.0,350,781
303,a,a,15430.0,4740126,6188.0,674.0,341,766
304,a,a,1950.0,5541079,7068.0,1056.0,353,784
305,c,c,2470.0,4176274,5347.0,507.0,350,781
306,a,a,5100.0,2717435,4369.0,468.0,274,622
307,a,a,18660.0,2114322,2704.0,308.0,353,782
308,a,a,1070.0,7183229,9353.0,938.0,345,768
309,d,a,8740.0,5430658,6971.0,591.0,350,779
310,a,c,2290.0,7388018,8236.0,700.0,354,897
311,a,c,680.0,5184737,6639.0,789.0,350,781
312,d,a,11300.0,4348731,5568.0,539.0,350,781
313,d,c,14160.0,5533037,7075.0,707.0,353,782
314,a,a,3560.0,4002280,5138.0,571.0,350,779
315,a,c,38710.0,3333890,4252.0,450.0,353,784
316,d,a,9000.0,7677532,9856.0,902.0,350,779
317,d,a,3140.0,3346040,5379.0,579.0,274,622
318,d,c,32330.0,5871619,7528.0,659.0,352,780
319,a,c,570.0,6105068,7787.0,844.0,353,784
320,a,c,210.0,11630218,14834.0,2063.0,353,784
321,c,c,8140.0,4647488,5958.0,585.0,352,780
322,a,a,17500.0,3926557,5021.0,548.0,353,782
323,d,c,8400.0,5737615,7365.0,621.0,350,779
324,a,a,13140.0,4436629,5688.0,722.0,351,780
325,a,c,350.0,5051539,6485.0,673.0,350,779
326,d,a,10070.0,3901936,5009.0,419.0,350,779
327,c,c,1390.0,6012573,7738.0,931.0,351,777
328,a,a,3130.0,3452551,4432.0,520.0,350,779
329,a,a,1310.0,5385006,6913.0,621.0,350,779
330,a,c,370.0,3245811,4167.0,448.0,350,779
331,a,c,670.0,4799307,6161.0,820.0,350,779
332,a,a,1840.0,2908282,3729.0,501.0,351,780
333,a,c,3720.0,7662181,9773.0,1267.0,353,784
334,d,c,4040.0,4228712,5428.0,562.0,350,779
335,b,a,90.0,12541731,13314.0,2385.0,360,942
336,a,a,190.0,10850316,13911.0,1960.0,349,780
337,d,c,10600.0,3943779,5050.0,384.0,350,781
338,a,c,1590.0,5637222,7218.0,625.0,350,781
339,a,c,2280.0,3881031,5147.0,681.0,340,754
340,a,c,8080.0,5084744,6486.0,715.0,353,784
341,a,a,190.0,4293485,5512.0,750.0,350,779
342,d,c,15770.0,6895670,11104.0,850.0,273,621
343,d,a,18650.0,5608306,7199.0,702.0,350,779
344,a,c,300.0,6649189,8481.0,1139.0,353,784
345,a,a,120.0,2836062,4560.0,494.0,274,622
346,a,c,8090.0,5320960,6831.0,620.0,350,779
347,d,c,9360.0,3732856,4804.0,387.0,348,777
348,a,a,16490.0,5255376,8803.0,736.0,264,597
349,c,c,1490.0,5711451,8159.0,830.0,315,700
350,d,a,8880.0,5477257,7013.0,529.0,350,781
351,a,a,5290.0,4710510,6047.0,519.0,350,779
352,d,c,6360.0,5246710,6692.0,637.0,353,784
353,b,b,900.0,5255773,5651.0,1451.0,356,930
354,d,c,1500.0,6536263,8391.0,705.0,350,779
355,a,c,9720.0,7172668,9149.0,1102.0,353,784
356,d,c,8970.0,4443882,5719.0,436.0,348,777
357,a,a,2060.0,5986921,7806.0,1018.0,347,767
358,a,a,2890.0,8028461,10306.0,1123.0,350,779
359,d,c,4370.0,5337128,6851.0,612.0,350,779
360,a,a,2040.0,5437400,6935.0,757.0,353,784
361,c,c,4490.0,4888169,6267.0,638.0,351,780
362,c,c,340.0,7323168,9377.0,1151.0,350,781
363,a,a,250.0,5593213,7134.0,937.0,353,784
364,a,c,13620.0,3510451,4565.0,569.0,346,769
365,c,a,2410.0,3378609,5441.0,587.0,274,621
366,d,c,6470.0,4833475,6197.0,601.0,351,780
367,d,c,2640.0,4119323,5254.0,543.0,353,784
368,d,c,1450.0,7526231,9686.0,713.0,348,777
369,d,c,5870.0,5354973,6857.0,577.0,350,781
370,d,a,8250.0,5959072,7650.0,636.0,350,779
371,d,c,1970.0,5380900,6890.0,544.0,350,781
372,d,c,4880.0,6844455,8786.0,759.0,350,779
373,d,c,11120.0,3520201,4531.0,317.0,348,777
374,a,a,1150.0,5495584,7010.0,830.0,353,784
375,a,c,15710.0,7148220,9164.0,759.0,351,780
376,a,a,160.0,6548133,8460.0,950.0,349,774
377,a,c,100.0,6129725,7819.0,969.0,353,784
378,a,c,2140.0,4927020,6325.0,970.0,350,779
379,d,a,6630.0,3059341,3902.0,468.0,353,784
380,a,a,2240.0,11261676,14457.0,1380.0,350,779
381,a,a,1800.0,7021213,9002.0,965.0,351,780
382,c,c,26130.0,6228961,7986.0,651.0,351,780
383,a,c,350.0,13489879,17295.0,2205.0,349,780
384,a,c,130.0,6937572,8872.0,999.0,353,782
385,d,a,4580.0,4570779,7349.0,655.0,274,622
386,d,c,1460.0,6255013,8030.0,645.0,350,779
387,c,a,210.0,7171744,9375.0,1197.0,343,765
388,a,a,2260.0,7990920,10258.0,1096.0,350,779
389,a,c,6690.0,8104523,10337.0,1265.0,353,784
390,a,c,1600.0,9023552,11569.0,1067.0,353,780
391,a,a,460.0,4392619,5727.0,691.0,345,767
392,a,a,2120.0,5670675,7279.0,718.0,350,779
393,d,c,4820.0,4598489,5903.0,587.0,350,779
394,d,a,10850.0,6523885,8353.0,662.0,350,781
395,a,a,3620.0,3107536,3989.0,520.0,350,779
396,a,c,23130.0,7973232,10222.0,1078.0,351,780
397,a,c,130.0,4342834,5575.0,750.0,350,779
398,c,c,1540.0,4309274,5497.0,615.0,353,784
399,a,a,5360.0,3457604,5559.0,565.0,274,622
400,a,a,70.0,6839152,8746.0,1201.0,353,782
401,a,c,9200.0,5480695,7027.0,647.0,352,780
402,c,c,5830.0,4569233,5858.0,615.0,351,780
403,a,a,4970.0,5817980,7469.0,737.0,350,779
404,a,c,1420.0,3631985,4785.0,571.0,338,759
405,a,a,1080.0,3521625,4521.0,488.0,350,779
406,d,c,8240.0,4760515,6111.0,474.0,350,779
407,a,a,5890.0,2417555,3887.0,315.0,274,622
408,c,a,1560.0,3673481,4728.0,465.0,348,777
409,d,c,840.0,4316867,5527.0,544.0,350,781
410,c,a,40.0,5019781,6444.0,802.0,350,779
411,d,c,8460.0,7133158,9133.0,701.0,350,781
412,d,c,4460.0,5661520,9102.0,645.0,274,622
413,a,c,760.0,4390211,7058.0,890.0,274,622
414,d,c,6210.0,5020250,6428.0,484.0,350,781
415,d,c,6910.0,4863171,6235.0,521.0,351,780
416,a,c,4650.0,8633413,11012.0,1398.0,353,784
417,a,c,840.0,5946326,7633.0,804.0,350,779
418,a,a,1060.0,4094061,5276.0,552.0,348,776
419,c,a,1620.0,4163948,5311.0,852.0,353,784
420,d,c,250.0,2824092,4540.0,403.0,274,622
421,c,c,3530.0,7517189,9588.0,1014.0,353,784
422,a,c,2880.0,3574303,4559.0,465.0,353,784
423,b,a,1270.0,10200356,10828.0,1886.0,360,942
424,d,c,1250.0,5395164,6926.0,773.0,350,779
425,d,c,1460.0,2512424,3238.0,434.0,348,776
426,a,a,250.0,3948281,5068.0,634.0,350,779
427,a,c,70.0,4761741,7643.0,771.0,275,623
428,d,a,2960.0,3910828,6288.0,527.0,274,622
429,d,c,16350.0,3309752,5321.0,429.0,274,622
430,d,c,12870.0,5369397,8632.0,700.0,274,622
431,d,c,4520.0,7419918,9525.0,1002.0,350,779
432,a,a,810.0,8610571,10983.0,1555.0,353,784
433,a,c,30030.0,4621066,5361.0,616.0,353,862
434,a,a,13020.0,6160800,9905.0,742.0,274,622
435,a,a,910.0,2553322,3278.0,384.0,350,779
436,d,a,2300.0,4297398,5509.0,617.0,352,780
437,c,c,430.0,5746040,7367.0,727.0,352,780
438,d,c,1110.0,4019904,5154.0,524.0,352,780
439,a,a,1350.0,5719235,7295.0,885.0,353,784
440,d,a,3900.0,4006273,5156.0,589.0,348,777
441,d,a,2530.0,4929786,6328.0,700.0,350,779
442,c,a,500.0,3402587,4379.0,461.0,348,777
443,d,a,11400.0,4095855,5251.0,489.0,352,780
444,c,a,1700.0,9470625,12189.0,1423.0,349,777
445,a,a,240.0,6673717,8600.0,1357.0,348,776
446,a,a,340.0,3842157,4932.0,635.0,350,779
447,a,c,1510.0,4161176,5308.0,619.0,353,784
448,a,c,3970.0,6609087,8484.0,742.0,350,779
449,a,c,120.0,8789176,11254.0,1535.0,350,781
450,c,a,5780.0,6830229,8791.0,1090.0,348,777
451,a,a,2460.0,4248112,5439.0,459.0,350,781
452,a,c,1850.0,4037476,5150.0,478.0,353,784
453,a,c,75860.0,6896821,7775.0,915.0,354,887
454,a,a,26450.0,4519416,5794.0,707.0,351,780
455,d,c,7660.0,5727571,7371.0,463.0,348,777
456,a,c,140.0,4822447,6191.0,895.0,350,779
457,d,c,13140.0,3010824,4841.0,433.0,274,622
458,c,a,3390.0,5921634,7582.0,703.0,350,781
459,a,a,250.0,7194572,9177.0,1130.0,353,784
460,a,a,34050.0,2914087,3736.0,345.0,351,780
461,d,c,1790.0,3759643,4839.0,477.0,348,777
462,a,a,44320.0,3769419,4833.0,606.0,351,780
463,a,a,4160.0,4747749,6095.0,969.0,350,779
464,c,a,520.0,8343864,10643.0,1306.0,353,784
465,d,c,10890.0,6062752,7763.0,605.0,350,781
466,a,c,3110.0,6007933,7712.0,756.0,350,779
467,a,c,20390.0,10501035,13480.0,1614.0,350,779
468,c,c,5260.0,5229014,6670.0,755.0,353,784
469,c,c,710.0,9330742,11901.0,1521.0,353,784
470,a,c,50.0,10174712,13112.0,1775.0,348,776
471,d,a,5300.0,4422266,7110.0,590.0,274,622
472,c,c,5030.0,4080447,5205.0,693.0,353,784
473,a,a,50.0,2767243,3552.0,487.0,350,779
474,c,a,14810.0,5885972,7527.0,737.0,353,782
475,a,a,140.0,5023680,6474.0,982.0,348,776
476,d,a,8300.0,4564251,5852.0,650.0,352,780
477,d,a,770.0,3864914,6214.0,450.0,274,622
478,d,c,1940.0,5336648,6807.0,699.0,353,784
479,a,a,320.0,8782548,11231.0,1329.0,351,782
480,a,a,300.0,3869738,4936.0,623.0,353,784
481,c,c,7470.0,4026351,5155.0,477.0,350,781
482,c,a,2550.0,6517671,8335.0,921.0,351,782
483,a,c,2310.0,3859771,4948.0,650.0,351,780
484,a,c,14300.0,6050653,7718.0,740.0,353,784
485,d,c,3270.0,3029769,4871.0,421.0,274,622
486,a,a,2320.0,3323793,4267.0,520.0,350,779
487,d,c,2180.0,5487451,6999.0,677.0,353,784
488,a,c,2890.0,2890074,3686.0,388.0,353,784
489,a,a,14960.0,5698967,7306.0,650.0,351,780
490,a,a,660.0,5131331,8250.0,1064.0,274,622
491,d,c,4680.0,5242001,6746.0,527.0,348,777
492,a,a,1740.0,4825503,7859.0,1156.0,273,614
493,d,c,1150.0,6462326,8296.0,808.0,350,779
494,b,a,1260.0,7205637,7649.0,1080.0,360,942
495,d,a,5470.0,4005216,5155.0,395.0,348,777
496,d,c,2780.0,6059458,7729.0,830.0,353,784
497,a,c,1610.0,7077518,9062.0,1116.0,350,781
